directory_file_name,line_number,error_type,error_description
30-seconds-of-code-master\eslint.config.js,116:28,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,216:25,error,max-statements
30-seconds-of-code-master\src\blocks\application.js,341:16,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,344:16,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,348:18,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,348:39,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,357:11,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,492:16,error,prefer-template
30-seconds-of-code-master\src\blocks\application.js,605:45,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,606:38,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\application.js,611:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,612:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,613:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,614:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,616:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,617:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,618:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,619:1,error,indent
30-seconds-of-code-master\src\blocks\application.js,620:1,error,indent
30-seconds-of-code-master\src\blocks\extractor\extractor.js,71:35,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,174:19,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,191:19,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,194:45,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,220:70,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,220:73,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,224:14,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,229:26,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\extractor.js,234:33,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,66:1,error,indent
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,67:1,error,indent
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,68:1,error,indent
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,87:33,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,90:57,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,95:36,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,140:31,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,171:43,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,192:57,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,235:55,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,284:35,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\markdownParser\remarkPlugins.js,287:45,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\textParser.js,15:53,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\textParser.js,36:65,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\textParser.js,36:70,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\textParser.js,44:3,error,require-await
30-seconds-of-code-master\src\blocks\extractor\textParser.js,46:43,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\extractor\textParser.js,46:48,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\collection.js,130:66,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\collection.js,172:53,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,16:50,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,40:22,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,42:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,43:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,44:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,45:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,45:41,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,46:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,47:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,48:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionPage.js,49:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,22:50,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,49:22,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,51:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,52:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,53:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,54:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,54:41,error,no-magic-numbers
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,55:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,56:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,57:1,error,indent
30-seconds-of-code-master\src\blocks\models\pages\collectionsPage.js,58:1,error,indent
