directory_file_name,line_number,error_type,error_description
axios-1.x\bin\GithubAPI.js,30:53,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,30:65,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,52:74,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,53:17,error,no-empty
axios-1.x\bin\GithubAPI.js,70:86,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,70:98,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,78:3,error,require-await
axios-1.x\bin\GithubAPI.js,84:33,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,84:43,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,92:29,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,92:39,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,96:3,error,require-await
axios-1.x\bin\GithubAPI.js,104:87,error,no-magic-numbers
axios-1.x\bin\GithubAPI.js,105:17,error,no-empty
axios-1.x\bin\GithubAPI.js,114:17,error,no-empty
axios-1.x\bin\GithubAPI.js,118:18,error,prefer-template
axios-1.x\bin\RepoBot.js,14:37,error,prefer-template
axios-1.x\bin\RepoBot.js,37:3,error,require-await
axios-1.x\bin\RepoBot.js,41:26,error,max-statements
axios-1.x\bin\RepoBot.js,47:35,error,no-magic-numbers
axios-1.x\bin\RepoBot.js,73:92,error,no-magic-numbers
axios-1.x\bin\RepoBot.js,94:12,error,no-return-await
axios-1.x\bin\RepoBot.js,115:24,error,no-await-in-loop
axios-1.x\bin\actions\notify_published.js,1:0,error,character
axios-1.x\bin\api.js,1:0,error,character
axios-1.x\bin\contributors.js,10:16,error,no-magic-numbers
axios-1.x\bin\contributors.js,10:23,error,no-magic-numbers
axios-1.x\bin\contributors.js,33:47,error,prefer-template
axios-1.x\bin\contributors.js,65:40,error,no-magic-numbers
axios-1.x\bin\contributors.js,74:24,error,no-unused-vars
axios-1.x\bin\contributors.js,74:35,error,no-unused-vars
axios-1.x\bin\contributors.js,88:1,error,indent
axios-1.x\bin\contributors.js,98:43,error,max-statements
axios-1.x\bin\contributors.js,98:43,error,complexity
axios-1.x\bin\contributors.js,105:19,error,prefer-template
axios-1.x\bin\contributors.js,110:17,error,prefer-template
axios-1.x\bin\contributors.js,115:52,error,no-magic-numbers
axios-1.x\bin\contributors.js,117:38,error,no-magic-numbers
axios-1.x\bin\contributors.js,163:38,error,no-await-in-loop
axios-1.x\bin\contributors.js,189:66,error,no-magic-numbers
axios-1.x\bin\contributors.js,189:88,error,no-magic-numbers
axios-1.x\bin\contributors.js,195:16,error,no-await-in-loop
axios-1.x\bin\contributors.js,214:17,error,no-magic-numbers
axios-1.x\bin\contributors.js,214:46,error,no-magic-numbers
axios-1.x\bin\contributors.js,231:85,error,no-magic-numbers
axios-1.x\bin\contributors.js,232:14,error,no-empty
axios-1.x\bin\githubAxios.js,11:39,error,no-magic-numbers
axios-1.x\bin\helpers\colorize.js,1:0,error,character
axios-1.x\bin\helpers\parser.js,1:0,error,character
axios-1.x\bin\injectContributorsList.js,25:60,error,max-statements
axios-1.x\bin\injectContributorsList.js,58:16,error,prefer-template
axios-1.x\bin\pr.js,10:51,error,no-magic-numbers
axios-1.x\bin\pr.js,23:18,error,no-magic-numbers
axios-1.x\bin\pr.js,24:18,error,no-magic-numbers
axios-1.x\bin\pr.js,25:13,error,no-await-in-loop
axios-1.x\bin\pr.js,25:47,error,no-magic-numbers
axios-1.x\bin\pr.js,37:25,error,no-magic-numbers
axios-1.x\bin\pr.js,44:21,error,no-await-in-loop
axios-1.x\bin\pr.js,48:14,error,no-await-in-loop
axios-1.x\bin\pr.js,50:13,error,no-await-in-loop
axios-1.x\bin\pr.js,50:35,error,no-await-in-loop
axios-1.x\bin\ssl_hotfix.js,1:0,error,character
axios-1.x\dist\axios.js,4:1,error,indent
axios-1.x\dist\axios.js,5:1,error,indent
axios-1.x\dist\axios.js,6:11,error,max-statements
axios-1.x\dist\axios.js,21:11,error,no-magic-numbers
axios-1.x\dist\axios.js,21:40,error,no-magic-numbers
axios-1.x\dist\axios.js,32:12,error,no-func-assign
axios-1.x\dist\axios.js,89:39,error,no-mixed-operators
axios-1.x\dist\axios.js,89:72,error,no-mixed-operators
axios-1.x\dist\axios.js,91:3,error,complexity
axios-1.x\dist\axios.js,92:65,error,no-mixed-operators
axios-1.x\dist\axios.js,92:89,error,no-mixed-operators
axios-1.x\dist\axios.js,110:17,error,no-unsafe-finally
axios-1.x\dist\axios.js,118:53,error,no-magic-numbers
axios-1.x\dist\axios.js,118:56,error,no-magic-numbers
axios-1.x\dist\axios.js,148:52,error,no-magic-numbers
axios-1.x\dist\axios.js,148:55,error,no-magic-numbers
axios-1.x\dist\axios.js,336:53,error,no-mixed-operators
axios-1.x\dist\axios.js,336:82,error,no-mixed-operators
axios-1.x\dist\axios.js,336:82,error,no-mixed-operators
axios-1.x\dist\axios.js,336:110,error,no-mixed-operators
axios-1.x\dist\axios.js,336:152,error,no-mixed-operators
axios-1.x\dist\axios.js,338:53,error,no-mixed-operators
axios-1.x\dist\axios.js,376:3,error,complexity
axios-1.x\dist\axios.js,377:35,error,no-magic-numbers
axios-1.x\dist\axios.js,377:50,error,no-magic-numbers
axios-1.x\dist\axios.js,377:79,error,no-magic-numbers
axios-1.x\dist\axios.js,379:45,error,no-magic-numbers
axios-1.x\dist\axios.js,394:16,error,no-magic-numbers
axios-1.x\dist\axios.js,402:16,error,no-magic-numbers
axios-1.x\dist\axios.js,413:18,error,no-magic-numbers
axios-1.x\dist\axios.js,450:40,error,no-mixed-operators
axios-1.x\dist\axios.js,450:48,error,no-mixed-operators
axios-1.x\dist\axios.js,454:32,error,no-mixed-operators
axios-1.x\dist\axios.js,454:56,error,no-mixed-operators
axios-1.x\dist\axios.js,482:36,error,no-magic-numbers
axios-1.x\dist\axios.js,482:51,error,no-magic-numbers
axios-1.x\dist\axios.js,482:80,error,no-magic-numbers
axios-1.x\dist\axios.js,504:28,error,no-magic-numbers
axios-1.x\dist\axios.js,504:35,error,no-magic-numbers
axios-1.x\dist\axios.js,505:31,error,no-magic-numbers
axios-1.x\dist\axios.js,537:22,error,complexity
axios-1.x\dist\axios.js,548:20,error,no-magic-numbers
axios-1.x\dist\axios.js,576:26,error,no-magic-numbers
axios-1.x\dist\axios.js,592:18,error,no-magic-numbers
axios-1.x\dist\axios.js,628:25,error,no-magic-numbers
axios-1.x\dist\axios.js,628:34,error,no-magic-numbers
axios-1.x\dist\axios.js,693:82,error,no-magic-numbers
axios-1.x\dist\axios.js,705:23,error,prefer-template
axios-1.x\dist\axios.js,733:35,error,no-magic-numbers
axios-1.x\dist\axios.js,733:50,error,no-magic-numbers
axios-1.x\dist\axios.js,733:79,error,no-magic-numbers
axios-1.x\dist\axios.js,733:84,error,no-magic-numbers
axios-1.x\dist\axios.js,734:39,error,no-magic-numbers
axios-1.x\dist\axios.js,734:54,error,no-magic-numbers
axios-1.x\dist\axios.js,734:83,error,no-magic-numbers
axios-1.x\dist\axios.js,738:48,error,no-magic-numbers
axios-1.x\dist\axios.js,754:27,error,no-magic-numbers
axios-1.x\dist\axios.js,757:38,error,no-magic-numbers
axios-1.x\dist\axios.js,764:49,error,no-magic-numbers
axios-1.x\dist\axios.js,773:23,error,no-magic-numbers
axios-1.x\dist\axios.js,931:52,error,no-magic-numbers
axios-1.x\dist\axios.js,931:55,error,no-magic-numbers
axios-1.x\dist\axios.js,948:27,error,prefer-template
axios-1.x\dist\axios.js,989:3,error,max-statements
axios-1.x\dist\axios.js,1011:30,error,no-mixed-operators
axios-1.x\dist\axios.js,1011:61,error,no-mixed-operators
axios-1.x\dist\axios.js,1040:5,error,complexity
axios-1.x\dist\axios.js,1045:46,error,no-magic-numbers
axios-1.x\dist\axios.js,1045:49,error,no-magic-numbers
axios-1.x\dist\axios.js,1048:43,error,no-mixed-operators
axios-1.x\dist\axios.js,1048:65,error,no-mixed-operators
axios-1.x\dist\axios.js,1048:65,error,no-mixed-operators
axios-1.x\dist\axios.js,1048:127,error,no-mixed-operators
axios-1.x\dist\axios.js,1054:1,error,indent
axios-1.x\dist\axios.js,1054:89,error,prefer-template
axios-1.x\dist\axios.js,1073:36,error,no-magic-numbers
axios-1.x\dist\axios.js,1074:21,error,prefer-template
axios-1.x\dist\axios.js,1136:14,error,prefer-template
axios-1.x\dist\axios.js,1136:27,error,no-magic-numbers
axios-1.x\dist\axios.js,1136:52,error,no-magic-numbers
axios-1.x\dist\axios.js,1166:27,error,no-mixed-operators
axios-1.x\dist\axios.js,1166:45,error,no-mixed-operators
axios-1.x\dist\axios.js,1176:29,error,no-magic-numbers
axios-1.x\dist\axios.js,1177:25,error,no-magic-numbers
axios-1.x\dist\axios.js,1179:36,error,no-magic-numbers
axios-1.x\dist\axios.js,1207:39,error,no-magic-numbers
axios-1.x\dist\axios.js,1304:86,error,no-magic-numbers
axios-1.x\dist\axios.js,1356:20,error,no-magic-numbers
axios-1.x\dist\axios.js,1356:45,error,no-magic-numbers
axios-1.x\dist\axios.js,1356:57,error,no-magic-numbers
axios-1.x\dist\axios.js,1373:14,error,no-magic-numbers
axios-1.x\dist\axios.js,1414:52,error,no-magic-numbers
axios-1.x\dist\axios.js,1447:24,error,max-statements
axios-1.x\dist\axios.js,1447:24,error,complexity
axios-1.x\dist\axios.js,1449:74,error,no-magic-numbers
axios-1.x\dist\axios.js,1473:72,error,no-magic-numbers
axios-1.x\dist\axios.js,1476:101,error,no-magic-numbers
axios-1.x\dist\axios.js,1489:25,error,complexity
axios-1.x\dist\axios.js,1493:64,error,no-mixed-operators
axios-1.x\dist\axios.js,1493:86,error,no-mixed-operators
axios-1.x\dist\axios.js,1523:24,error,no-magic-numbers
axios-1.x\dist\axios.js,1523:40,error,no-magic-numbers
axios-1.x\dist\axios.js,1562:28,error,no-magic-numbers
axios-1.x\dist\axios.js,1563:32,error,no-magic-numbers
axios-1.x\dist\axios.js,1564:16,error,no-mixed-operators
axios-1.x\dist\axios.js,1564:31,error,no-mixed-operators
axios-1.x\dist\axios.js,1574:37,error,prefer-template
axios-1.x\dist\axios.js,1594:12,error,no-cond-assign
axios-1.x\dist\axios.js,1595:20,error,no-magic-numbers
axios-1.x\dist\axios.js,1595:32,error,no-magic-numbers
axios-1.x\dist\axios.js,1611:40,error,no-magic-numbers
axios-1.x\dist\axios.js,1623:44,error,prefer-template
axios-1.x\dist\axios.js,1648:68,error,no-mixed-operators
axios-1.x\dist\axios.js,1648:94,error,no-mixed-operators
axios-1.x\dist\axios.js,1785:44,error,no-magic-numbers
axios-1.x\dist\axios.js,1786:28,error,no-magic-numbers
axios-1.x\dist\axios.js,1787:27,error,no-magic-numbers
axios-1.x\dist\axios.js,1788:18,error,prefer-template
axios-1.x\dist\axios.js,1805:72,error,no-magic-numbers
axios-1.x\dist\axios.js,1805:84,error,no-magic-numbers
axios-1.x\dist\axios.js,1805:88,error,no-magic-numbers
axios-1.x\dist\axios.js,1806:27,error,no-magic-numbers
axios-1.x\dist\axios.js,1839:22,error,no-magic-numbers
axios-1.x\dist\axios.js,1839:51,error,no-magic-numbers
axios-1.x\dist\axios.js,1908:29,error,prefer-template
axios-1.x\dist\axios.js,1908:170,error,no-magic-numbers
axios-1.x\dist\axios.js,1908:177,error,no-magic-numbers
axios-1.x\dist\axios.js,1914:1,error,indent
axios-1.x\dist\axios.js,1915:1,error,indent
axios-1.x\dist\axios.js,1916:1,error,indent
axios-1.x\dist\axios.js,1916:21,error,prefer-template
axios-1.x\dist\axios.js,1917:1,error,indent
axios-1.x\dist\axios.js,1917:48,error,prefer-template
axios-1.x\dist\axios.js,1918:1,error,indent
axios-1.x\dist\axios.js,1918:45,error,prefer-template
axios-1.x\dist\axios.js,1919:1,error,indent
axios-1.x\dist\axios.js,1919:47,error,prefer-template
axios-1.x\dist\axios.js,1920:1,error,indent
axios-1.x\dist\axios.js,1921:1,error,indent
axios-1.x\dist\axios.js,1922:1,error,indent
axios-1.x\dist\axios.js,1923:1,error,indent
axios-1.x\dist\axios.js,1924:1,error,indent
axios-1.x\dist\axios.js,1924:52,error,prefer-template
axios-1.x\dist\axios.js,1925:1,error,indent
axios-1.x\dist\axios.js,1925:47,error,no-magic-numbers
axios-1.x\dist\axios.js,1926:1,error,indent
axios-1.x\dist\axios.js,1927:1,error,indent
axios-1.x\dist\axios.js,1928:1,error,indent
axios-1.x\dist\axios.js,1928:41,error,no-magic-numbers
axios-1.x\dist\axios.js,1929:1,error,indent
axios-1.x\dist\axios.js,1930:1,error,indent
axios-1.x\dist\axios.js,1932:1,error,indent
axios-1.x\dist\axios.js,1933:1,error,indent
axios-1.x\dist\axios.js,1934:1,error,indent
axios-1.x\dist\axios.js,1935:1,error,indent
axios-1.x\dist\axios.js,1936:1,error,indent
axios-1.x\dist\axios.js,1937:1,error,indent
axios-1.x\dist\axios.js,1938:1,error,indent
axios-1.x\dist\axios.js,1963:26,error,prefer-template
axios-1.x\dist\axios.js,1986:1,error,indent
axios-1.x\dist\axios.js,1987:1,error,indent
axios-1.x\dist\axios.js,1988:1,error,indent
axios-1.x\dist\axios.js,1989:1,error,indent
axios-1.x\dist\axios.js,1991:1,error,indent
axios-1.x\dist\axios.js,1997:1,error,indent
axios-1.x\dist\axios.js,1998:1,error,indent
axios-1.x\dist\axios.js,1999:1,error,indent
axios-1.x\dist\axios.js,2001:1,error,indent
axios-1.x\dist\axios.js,2002:1,error,indent
axios-1.x\dist\axios.js,2003:1,error,indent
axios-1.x\dist\axios.js,2004:1,error,indent
axios-1.x\dist\axios.js,2006:1,error,indent
axios-1.x\dist\axios.js,2007:1,error,indent
axios-1.x\dist\axios.js,2008:1,error,indent
axios-1.x\dist\axios.js,2009:1,error,indent
axios-1.x\dist\axios.js,2010:1,error,indent
axios-1.x\dist\axios.js,2011:1,error,indent
axios-1.x\dist\axios.js,2012:1,error,indent
axios-1.x\dist\axios.js,2013:1,error,indent
axios-1.x\dist\axios.js,2014:1,error,indent
axios-1.x\dist\axios.js,2015:1,error,indent
axios-1.x\dist\axios.js,2015:50,error,no-magic-numbers
axios-1.x\dist\axios.js,2015:89,error,prefer-template
axios-1.x\dist\axios.js,2016:1,error,indent
axios-1.x\dist\axios.js,2017:1,error,indent
axios-1.x\dist\axios.js,2018:1,error,indent
axios-1.x\dist\axios.js,2020:1,error,indent
axios-1.x\dist\axios.js,2026:1,error,indent
axios-1.x\dist\axios.js,2027:1,error,indent
axios-1.x\dist\axios.js,2028:1,error,indent
axios-1.x\dist\axios.js,2029:1,error,indent
axios-1.x\dist\axios.js,2030:1,error,indent
axios-1.x\dist\axios.js,2032:1,error,indent
axios-1.x\dist\axios.js,2033:1,error,indent
axios-1.x\dist\axios.js,2034:1,error,indent
axios-1.x\dist\axios.js,2035:1,error,indent
axios-1.x\dist\axios.js,2036:1,error,indent
axios-1.x\dist\axios.js,2040:18,error,no-mixed-operators
axios-1.x\dist\axios.js,2040:27,error,no-magic-numbers
axios-1.x\dist\axios.js,2040:30,error,no-mixed-operators
axios-1.x\dist\axios.js,2050:36,error,no-magic-numbers
axios-1.x\dist\axios.js,2056:37,error,no-magic-numbers
axios-1.x\dist\axios.js,2071:22,error,no-magic-numbers
axios-1.x\dist\axios.js,2073:24,error,no-magic-numbers
axios-1.x\dist\axios.js,2079:47,error,no-magic-numbers
axios-1.x\dist\axios.js,2085:36,error,no-magic-numbers
axios-1.x\dist\axios.js,2085:40,error,no-magic-numbers
axios-1.x\dist\axios.js,2108:24,error,max-statements
axios-1.x\dist\axios.js,2108:24,error,complexity
axios-1.x\dist\axios.js,2132:26,error,no-magic-numbers
axios-1.x\dist\axios.js,2133:34,error,no-magic-numbers
axios-1.x\dist\axios.js,2143:45,error,prefer-template
axios-1.x\dist\axios.js,2143:61,error,prefer-template
axios-1.x\dist\axios.js,2182:50,error,no-magic-numbers
axios-1.x\dist\axios.js,2190:34,error,no-magic-numbers
axios-1.x\dist\axios.js,2190:105,error,no-magic-numbers
axios-1.x\dist\axios.js,2222:52,error,prefer-template
axios-1.x\dist\axios.js,2238:27,error,no-mixed-operators
axios-1.x\dist\axios.js,2238:54,error,no-mixed-operators
axios-1.x\dist\axios.js,2293:64,error,no-magic-numbers
axios-1.x\dist\axios.js,2294:31,error,prefer-template
axios-1.x\dist\axios.js,2328:17,error,max-statements
axios-1.x\dist\axios.js,2337:23,error,no-magic-numbers
