directory_file_name,line_number,error_type,error_description
,2:12,error,no-undef
,3:10,error,no-undef
,4:8,error,no-undef
,5:11,error,no-undef
,6:11,error,no-undef
,40:1,error,indent
,41:1,error,indent
,52:14,error,max-statements
,55:67,error,no-magic-numbers
,68:7,error,no-magic-numbers
,110:67,error,no-magic-numbers
,135:22,error,no-magic-numbers
,143:27,error,no-useless-escape
,143:29,error,no-useless-escape
,143:33,error,no-useless-escape
,143:35,error,no-useless-escape
,143:37,error,no-useless-escape
,143:39,error,no-useless-escape
,143:41,error,no-useless-escape
,143:43,error,no-useless-escape
,143:45,error,no-useless-escape
,143:47,error,no-useless-escape
,143:49,error,no-useless-escape
,143:53,error,no-useless-escape
,143:55,error,no-useless-escape
,143:57,error,no-useless-escape
,151:35,error,no-magic-numbers
,151:48,error,no-magic-numbers
,192:63,error,no-magic-numbers
,192:66,error,no-magic-numbers
,206:25,error,no-magic-numbers
,239:64,error,no-magic-numbers
,254:43,error,no-magic-numbers
,254:46,error,no-magic-numbers
,255:11,error,no-undef
,316:20,error,max-statements
,365:5,error,no-undef
,389:25,error,no-undef
,451:36,error,no-magic-numbers
,451:39,error,no-magic-numbers
,454:36,error,no-magic-numbers
,454:39,error,no-magic-numbers
,457:36,error,no-magic-numbers
,457:39,error,no-magic-numbers
,460:36,error,no-magic-numbers
,460:39,error,no-magic-numbers
,463:36,error,no-magic-numbers
,463:40,error,no-magic-numbers
,466:36,error,no-magic-numbers
,466:40,error,no-magic-numbers
,469:36,error,no-magic-numbers
,469:39,error,no-magic-numbers
,472:36,error,no-magic-numbers
,472:39,error,no-magic-numbers
,499:37,error,no-magic-numbers
,502:37,error,no-magic-numbers
,505:37,error,no-magic-numbers
,508:37,error,no-magic-numbers
,511:34,error,no-magic-numbers
,514:34,error,no-magic-numbers
,517:34,error,no-magic-numbers
,520:34,error,no-magic-numbers
,544:29,error,no-magic-numbers
,545:56,error,no-magic-numbers
,545:59,error,no-magic-numbers
,573:5,error,no-undef
,586:25,error,no-undef
,597:21,error,max-statements
,597:21,error,complexity
,631:9,error,no-undef
,635:9,error,no-undef
,730:22,error,no-undef
,758:1,error,indent
,759:1,error,indent
,760:1,error,indent
,789:60,error,no-magic-numbers
,791:48,error,no-magic-numbers
,793:46,error,no-magic-numbers
,812:15,error,max-statements
,812:15,error,complexity
,895:71,error,no-magic-numbers
,923:49,error,no-magic-numbers
,936:51,error,no-magic-numbers
,937:56,error,no-magic-numbers
,940:24,error,no-magic-numbers
,940:46,error,no-magic-numbers
,947:1,error,indent
,948:1,error,indent
,948:18,error,no-magic-numbers
,949:1,error,indent
,951:1,error,indent
,952:1,error,indent
,953:1,error,indent
,954:1,error,indent
,954:36,error,no-magic-numbers
,954:66,error,no-magic-numbers
,955:1,error,indent
,955:20,error,no-magic-numbers
,956:1,error,indent
,957:1,error,indent
,959:1,error,indent
,960:1,error,indent
,975:74,error,no-magic-numbers
,976:53,error,no-magic-numbers
,1021:66,error,no-magic-numbers
,1049:14,error,complexity
,1053:30,error,no-useless-escape
,1053:52,error,no-useless-escape
,1060:32,error,no-magic-numbers
,1075:30,error,no-magic-numbers
,1089:40,error,no-magic-numbers
,1090:22,error,no-magic-numbers
,1099:22,error,no-magic-numbers
,1102:28,error,no-magic-numbers
,1146:33,error,no-magic-numbers
,1174:40,error,no-magic-numbers
,1175:38,error,no-magic-numbers
,1230:34,error,no-undef
,1279:59,error,no-magic-numbers
,1318:52,error,no-magic-numbers
,1319:10,error,no-magic-numbers
,1343:19,error,no-undef
,1346:22,error,no-undef
,1354:22,error,no-undef
,39:26,error,no-undef
,40:39,error,no-magic-numbers
,18:30,error,no-magic-numbers
,18:34,error,no-magic-numbers
,21:36,error,no-magic-numbers
,21:40,error,no-magic-numbers
,21:44,error,no-magic-numbers
,79:8,error,no-magic-numbers
,174:48,error,no-magic-numbers
,198:61,error,no-magic-numbers
,198:71,error,no-magic-numbers
,253:51,error,no-undef
,331:28,error,no-magic-numbers
,331:50,error,no-magic-numbers
,331:73,error,no-magic-numbers
,333:28,error,no-magic-numbers
,333:50,error,no-magic-numbers
,333:75,error,no-magic-numbers
,85:78,error,no-magic-numbers
,96:67,error,no-magic-numbers
,106:67,error,no-magic-numbers
,154:21,error,no-magic-numbers
,161:28,error,no-magic-numbers
,165:28,error,no-magic-numbers
,241:32,error,no-magic-numbers
,242:28,error,no-magic-numbers
,358:21,error,complexity
,396:21,error,no-magic-numbers
,396:24,error,no-magic-numbers
,431:16,error,max-statements
,500:28,error,no-undef
,543:26,error,prefer-template
,563:26,error,prefer-template
,579:26,error,no-undef
,584:31,error,prefer-template
,585:29,error,prefer-template
,592:26,error,prefer-template
,611:73,error,no-magic-numbers
,616:29,error,prefer-template
,621:54,error,no-magic-numbers
,623:22,error,no-magic-numbers
,630:35,error,no-undef
,633:29,error,no-undef
,661:19,error,max-statements
,662:34,error,no-undef
,663:35,error,no-undef
,671:27,error,no-undef
,671:73,error,no-magic-numbers
,672:28,error,no-undef
,672:72,error,no-magic-numbers
,682:44,error,no-magic-numbers
,683:32,error,no-magic-numbers
,689:23,error,no-undef
,693:43,error,no-magic-numbers
,694:31,error,no-magic-numbers
,700:23,error,no-undef
,708:19,error,no-undef
,727:7,error,no-undef
,761:58,error,no-magic-numbers
,762:32,error,no-magic-numbers
,763:40,error,no-magic-numbers
,791:16,error,no-undef
,794:18,error,max-statements
,794:18,error,complexity
,805:20,error,no-undef
,807:37,error,no-magic-numbers
,816:23,error,no-magic-numbers
,817:56,error,no-magic-numbers
,822:25,error,no-magic-numbers
,842:65,error,no-magic-numbers
,852:58,error,no-magic-numbers
,858:49,error,no-magic-numbers
,871:35,error,prefer-template
,883:31,error,prefer-template
,33:23,error,max-statements
,43:20,error,no-magic-numbers
,44:15,error,no-magic-numbers
,61:31,error,no-magic-numbers
,62:62,error,no-magic-numbers
,70:35,error,no-magic-numbers
,73:39,error,no-magic-numbers
,74:40,error,no-magic-numbers
,76:75,error,no-magic-numbers
,79:22,error,no-magic-numbers
,80:41,error,no-magic-numbers
,99:21,error,max-statements
,110:50,error,no-magic-numbers
,115:20,error,no-magic-numbers
,116:15,error,no-magic-numbers
,122:54,error,no-magic-numbers
,139:31,error,no-magic-numbers
,140:62,error,no-magic-numbers
,148:35,error,no-magic-numbers
,151:39,error,no-magic-numbers
,152:40,error,no-magic-numbers
,155:22,error,no-magic-numbers
,155:61,error,no-magic-numbers
,164:22,error,max-statements
,176:22,error,no-magic-numbers
,177:15,error,no-magic-numbers
,179:75,error,no-magic-numbers
,197:31,error,no-magic-numbers
,198:62,error,no-magic-numbers
,206:35,error,no-magic-numbers
,208:57,error,no-magic-numbers
,212:36,error,no-magic-numbers
,212:74,error,no-magic-numbers
,217:62,error,no-magic-numbers
,231:61,error,no-magic-numbers
,231:71,error,no-magic-numbers
,254:47,error,no-magic-numbers
,257:45,error,no-magic-numbers
,258:42,error,no-magic-numbers
,261:45,error,no-magic-numbers
,262:42,error,no-magic-numbers
,271:78,error,no-magic-numbers
,274:44,error,no-magic-numbers
,275:41,error,no-magic-numbers
,278:44,error,no-magic-numbers
,279:41,error,no-magic-numbers
,305:23,error,no-magic-numbers
,305:30,error,no-magic-numbers
,316:16,error,no-magic-numbers
,317:13,error,no-magic-numbers
,318:13,error,no-magic-numbers
,318:16,error,no-mixed-operators
,318:19,error,no-magic-numbers
,318:21,error,no-mixed-operators
,318:23,error,no-magic-numbers
,318:25,error,no-mixed-operators
,318:33,error,no-mixed-operators
,320:21,error,no-mixed-operators
,320:33,error,no-mixed-operators
,332:9,error,complexity
,355:28,error,no-magic-numbers
,355:50,error,no-magic-numbers
,355:73,error,no-magic-numbers
,359:34,error,no-magic-numbers
,359:62,error,no-magic-numbers
,360:26,error,no-magic-numbers
,367:1,error,indent
