directory_file_name,line_number,error_type,error_description
browsertime\bin\browsertime.js,22:45,error,no-promise-executor-return
browsertime\bin\browsertime.js,28:18,error,no-await-in-loop
browsertime\bin\browsertime.js,34:1,error,max-statements
browsertime\bin\browsertime.js,74:49,error,no-magic-numbers
browsertime\bin\browsertime.js,77:1,error,max-statements
browsertime\bin\browsertime.js,77:1,error,complexity
browsertime\bin\browsertime.js,108:27,error,no-magic-numbers
browsertime\bin\browsertime.js,111:29,error,no-magic-numbers
browsertime\bin\browsertime.js,117:52,error,prefer-template
browsertime\bin\browsertime.js,122:36,error,prefer-template
browsertime\bin\browsertime.js,155:46,error,no-magic-numbers
browsertime\bin\browsertime.js,159:33,error,no-magic-numbers
browsertime\bin\browsertime.js,201:20,error,no-await-in-loop
browsertime\bin\browsertimeWebPageReplay.js,13:14,error,no-magic-numbers
browsertime\bin\browsertimeWebPageReplay.js,56:27,error,no-magic-numbers
browsertime\browserscripts\browser\cpuBenchmark.js,2:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,3:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,4:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,5:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,6:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,7:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,7:31,error,no-magic-numbers
browsertime\browserscripts\browser\cpuBenchmark.js,8:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,9:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,10:1,error,indent
browsertime\browserscripts\browser\cpuBenchmark.js,11:1,error,indent
browsertime\browserscripts\browser\userAgent.js,2:10,error,no-undef
browsertime\browserscripts\browser\windowSize.js,2:13,error,no-undef
browsertime\browserscripts\browser\windowSize.js,3:9,error,no-undef
browsertime\browserscripts\browser\windowSize.js,5:40,error,no-magic-numbers
browsertime\browserscripts\browser\windowSize.js,8:10,error,prefer-template
browsertime\browserscripts\pageinfo\cumulativeLayoutShift.js,3:59,error,no-magic-numbers
browsertime\browserscripts\pageinfo\cumulativeLayoutShift.js,19:37,error,no-magic-numbers
browsertime\browserscripts\pageinfo\cumulativeLayoutShift.js,19:72,error,no-magic-numbers
browsertime\browserscripts\pageinfo\cumulativeLayoutShift.js,21:14,error,no-magic-numbers
