directory_file_name,line_number,error_type,error_description
create-react-app\docusaurus\website\docusaurus.config.js,7:1,error,strict
create-react-app\packages\babel-plugin-named-asset-import\index.js,1:1,error,strict
create-react-app\packages\babel-plugin-named-asset-import\index.js,9:44,error,no-magic-numbers
create-react-app\packages\babel-plugin-named-asset-import\index.js,18:44,error,no-magic-numbers
create-react-app\packages\babel-plugin-named-asset-import\index.js,20:63,error,no-magic-numbers
create-react-app\packages\babel-plugin-named-asset-import\index.test.js,1:1,error,strict
create-react-app\packages\babel-preset-react-app\create.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\create.js,23:18,error,complexity
create-react-app\packages\babel-preset-react-app\create.js,59:7,error,prefer-template
create-react-app\packages\babel-preset-react-app\dependencies.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\dependencies.js,23:18,error,complexity
create-react-app\packages\babel-preset-react-app\dependencies.js,55:7,error,prefer-template
create-react-app\packages\babel-preset-react-app\dev.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\index.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\prod.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\test.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\webpack-overrides.js,7:1,error,strict
create-react-app\packages\babel-preset-react-app\webpack-overrides.js,26:54,error,no-magic-numbers
create-react-app\packages\confusing-browser-globals\index.js,8:1,error,strict
create-react-app\packages\confusing-browser-globals\test.js,10:1,error,strict
create-react-app\packages\create-react-app\__tests__\getTemplateInstallPackage.test.js,8:1,error,strict
create-react-app\packages\create-react-app\createReactApp.js,30:1,error,strict
create-react-app\packages\create-react-app\createReactApp.js,53:72,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,189:18,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,235:1,error,max-statements
create-react-app\packages\create-react-app\createReactApp.js,235:1,error,complexity
create-react-app\packages\create-react-app\createReactApp.js,259:18,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,273:39,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,279:18,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,334:22,error,max-statements
create-react-app\packages\create-react-app\createReactApp.js,385:20,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,542:22,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,553:17,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,558:39,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,586:24,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,597:1,error,complexity
create-react-app\packages\create-react-app\createReactApp.js,603:40,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,615:34,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,616:41,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,617:36,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,711:11,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,724:57,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,729:35,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,729:62,error,no-magic-numbers
create-react-app\packages\create-react-app\createReactApp.js,729:76,error,no-magic-numbers
