directory_file_name,line_number,error_type,error_description
,20:12,error,no-magic-numbers
,36:33,error,prefer-template
,37:33,error,prefer-template
,115:31,error,prefer-template
,131:14,error,no-magic-numbers
,12:16,error,prefer-template
,13:16,error,prefer-template
,19:16,error,prefer-template
,44:14,error,no-magic-numbers
,6:12,error,prefer-template
,7:12,error,prefer-template
,13:12,error,prefer-template
,20:45,error,no-magic-numbers
,20:50,error,no-magic-numbers
,21:12,error,prefer-template
,26:14,error,no-magic-numbers
,41:49,error,no-magic-numbers
,47:14,error,no-magic-numbers
,29:24,error,no-magic-numbers
,38:14,error,no-magic-numbers
,55:14,error,no-magic-numbers
,64:14,error,no-magic-numbers
,95:28,error,no-magic-numbers
,101:14,error,no-magic-numbers
,25:14,error,no-magic-numbers
,51:14,error,no-magic-numbers
,13:14,error,no-magic-numbers
,42:14,error,no-magic-numbers
,16:14,error,no-magic-numbers
,31:22,error,no-magic-numbers
,31:29,error,no-magic-numbers
,60:14,error,no-magic-numbers
,30:16,error,prefer-template
,18:32,error,no-magic-numbers
,20:15,error,prefer-template
,21:16,error,prefer-template
,40:16,error,prefer-template
,14:38,error,no-magic-numbers
,14:47,error,no-magic-numbers
,14:56,error,no-magic-numbers
,15:45,error,no-magic-numbers
,83:14,error,no-magic-numbers
,88:14,error,no-magic-numbers
,93:14,error,no-magic-numbers
,14:31,error,max-statements
,14:31,error,complexity
,19:9,error,no-redeclare
,37:1,error,indent
,38:1,error,indent
,39:1,error,indent
,39:17,error,prefer-template
,40:1,error,indent
,41:1,error,indent
,42:1,error,indent
,43:1,error,indent
,43:17,error,prefer-template
,44:1,error,indent
,45:1,error,indent
,46:1,error,indent
,47:1,error,indent
,47:17,error,prefer-template
,48:1,error,indent
,49:1,error,indent
,50:1,error,indent
,51:1,error,indent
,51:17,error,prefer-template
,52:1,error,indent
,53:1,error,indent
,54:1,error,indent
,55:1,error,indent
,55:17,error,prefer-template
,56:1,error,indent
,57:1,error,indent
,58:1,error,indent
,59:1,error,indent
,60:1,error,indent
,61:1,error,indent
,62:1,error,indent
,63:1,error,indent
,63:27,error,prefer-template
,41:10,error,prefer-template
,42:12,error,prefer-template
,51:15,error,no-magic-numbers
,53:14,error,prefer-template
,59:14,error,no-magic-numbers
,26:22,error,no-magic-numbers
,26:27,error,prefer-template
,35:7,error,no-cond-assign
,38:22,error,no-magic-numbers
,55:12,error,prefer-template
,66:12,error,prefer-template
,66:46,error,no-magic-numbers
,71:14,error,no-magic-numbers
,15:12,error,prefer-template
,21:12,error,prefer-template
,22:15,error,prefer-template
,54:36,error,no-magic-numbers
,56:1,error,indent
,57:1,error,indent
,58:1,error,indent
,59:1,error,indent
,60:1,error,indent
,61:1,error,indent
,61:20,error,prefer-template
,62:1,error,indent
,62:18,error,prefer-template
,63:1,error,indent
,64:1,error,indent
,65:1,error,indent
,93:14,error,no-magic-numbers
,18:1,error,indent
,19:1,error,indent
,20:1,error,indent
,21:1,error,indent
,23:1,error,indent
,24:1,error,indent
,25:1,error,indent
,26:1,error,indent
,37:14,error,prefer-template
,47:14,error,prefer-template
,51:14,error,prefer-template
,73:14,error,no-magic-numbers
,32:20,error,prefer-template
,66:33,error,no-magic-numbers
,75:12,error,prefer-template
,79:12,error,prefer-template
,83:12,error,prefer-template
,88:14,error,no-magic-numbers
,53:14,error,no-magic-numbers
,20:25,error,prefer-template
,28:12,error,prefer-template
,35:12,error,prefer-template
,41:30,error,no-magic-numbers
,59:14,error,no-magic-numbers
,3:14,error,no-undef
,4:12,error,no-undef
,7:17,error,no-undef
,8:19,error,prefer-template
,10:28,error,no-magic-numbers
,30:12,error,prefer-template
,35:14,error,no-magic-numbers
,35:12,error,prefer-template
,38:12,error,no-magic-numbers
,38:12,error,no-magic-numbers
,30:12,error,prefer-template
,39:16,error,prefer-template
,39:55,error,no-magic-numbers
,51:14,error,no-magic-numbers
,29:15,error,prefer-template
,46:14,error,no-magic-numbers
,153:14,error,no-magic-numbers
,32:29,error,no-magic-numbers
,33:29,error,no-magic-numbers
,34:29,error,no-magic-numbers
,35:29,error,no-magic-numbers
,36:30,error,no-magic-numbers
,34:31,error,no-magic-numbers
,37:32,error,no-magic-numbers
,37:54,error,no-magic-numbers
,66:16,error,no-magic-numbers
,66:26,error,no-magic-numbers
,67:18,error,no-magic-numbers
,68:18,error,no-magic-numbers
,101:28,error,no-magic-numbers
,109:14,error,no-magic-numbers
,115:14,error,no-magic-numbers
,85:32,error,no-magic-numbers
,203:49,error,no-magic-numbers
,204:17,error,no-magic-numbers
,209:16,error,no-magic-numbers
,216:22,error,no-magic-numbers
,306:23,error,no-magic-numbers
,307:7,error,prefer-template
,360:28,error,no-magic-numbers
,382:1,error,indent
,383:1,error,indent
,384:1,error,indent
,385:1,error,indent
,386:1,error,indent
,387:1,error,indent
,388:1,error,indent
,389:1,error,indent
,391:1,error,indent
,392:1,error,indent
,393:1,error,indent
,394:1,error,indent
,395:1,error,indent
,397:1,error,indent
,491:50,error,no-magic-numbers
,499:54,error,no-magic-numbers
,518:36,error,no-magic-numbers
,548:14,error,max-statements
,594:65,error,no-magic-numbers
,595:11,error,prefer-template
,595:45,error,no-magic-numbers
,595:48,error,no-magic-numbers
,595:107,error,no-magic-numbers
,596:11,error,prefer-template
,597:27,error,prefer-template
,112:23,error,prefer-template
,77:1,error,indent
,78:1,error,indent
,79:1,error,indent
,81:1,error,indent
,82:1,error,indent
,240:35,error,no-magic-numbers
,243:13,error,prefer-template
,245:38,error,no-prototype-builtins
,312:45,error,no-magic-numbers
,321:20,error,no-magic-numbers
,322:24,error,no-magic-numbers
,431:54,error,no-magic-numbers
,433:36,error,no-magic-numbers
,436:27,error,no-magic-numbers
,442:21,error,no-magic-numbers
,443:27,error,no-magic-numbers
,444:7,error,no-magic-numbers
,447:20,error,no-magic-numbers
,448:22,error,no-magic-numbers
,476:18,error,no-magic-numbers
,476:34,error,no-magic-numbers
,476:42,error,no-magic-numbers
,68:73,error,no-magic-numbers
,68:86,error,no-magic-numbers
,69:15,error,prefer-template
,94:12,error,prefer-template
,111:12,error,max-statements
,111:12,error,complexity
