directory_file_name,line_number,error_type,error_description
graphql-js-main\benchmark\list-async-benchmark.js,10:31,error,no-magic-numbers
graphql-js-main\benchmark\list-asyncIterable-benchmark.js,9:31,error,no-magic-numbers
graphql-js-main\benchmark\list-sync-benchmark.js,10:31,error,no-magic-numbers
graphql-js-main\benchmark\repeated-fields-benchmark.js,5:37,error,no-magic-numbers
graphql-js-main\benchmark\visitInParallel-benchmark.js,8:28,error,no-magic-numbers
graphql-js-main\integrationTests\ts\TypedQueryDocumentNode-test.ts,31:7,error,no-unused-vars
graphql-js-main\integrationTests\ts\basic-test.ts,18:16,error,prefer-template
graphql-js-main\integrationTests\ts\basic-test.ts,26:7,error,no-unused-vars
graphql-js-main\integrationTests\ts\esm.ts,22:16,error,prefer-template
graphql-js-main\integrationTests\ts\esm.ts,30:7,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,5:18,error,no-magic-numbers
graphql-js-main\integrationTests\ts\extensions-test.ts,9:13,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,9:41,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,9:51,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,13:13,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,13:36,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,13:46,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,13:57,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,17:13,error,no-unused-vars
graphql-js-main\integrationTests\ts\extensions-test.ts,35:33,error,prefer-template
graphql-js-main\integrationTests\ts\extensions-test.ts,53:37,error,no-magic-numbers
graphql-js-main\integrationTests\ts\internalImports-test.ts,8:7,error,no-unused-vars
graphql-js-main\integrationTests\ts\kitchenSink-test.ts,16:7,error,no-unused-vars
graphql-js-main\integrationTests\webpack\test.js,3:1,error,n/no-missing-import
graphql-js-main\integrationTests\webpack\test.js,6:1,error,n/no-missing-import
graphql-js-main\resources\benchmark.ts,19:69,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,58:41,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,107:64,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,110:45,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,112:48,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,122:40,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,124:29,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,125:29,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,156:27,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,171:37,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,173:32,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,182:31,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,191:30,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,191:37,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,218:7,error,prefer-template
graphql-js-main\resources\benchmark.ts,229:14,error,prefer-template
graphql-js-main\resources\benchmark.ts,239:33,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,239:58,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,244:35,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,244:57,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,245:40,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,256:43,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,257:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,257:31,error,no-mixed-operators
graphql-js-main\resources\benchmark.ts,257:33,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,257:35,error,no-mixed-operators
graphql-js-main\resources\benchmark.ts,257:43,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,261:35,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,261:41,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,261:45,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,278:15,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,280:19,error,prefer-template
graphql-js-main\resources\benchmark.ts,287:28,error,prefer-template
graphql-js-main\resources\benchmark.ts,287:44,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,289:19,error,prefer-template
graphql-js-main\resources\benchmark.ts,300:35,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,300:68,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,301:36,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,301:64,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,304:1,error,indent
graphql-js-main\resources\benchmark.ts,304:10,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,305:1,error,indent
graphql-js-main\resources\benchmark.ts,307:1,error,indent
graphql-js-main\resources\benchmark.ts,307:10,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,308:1,error,indent
graphql-js-main\resources\benchmark.ts,310:1,error,indent
graphql-js-main\resources\benchmark.ts,311:1,error,indent
graphql-js-main\resources\benchmark.ts,311:20,error,prefer-template
graphql-js-main\resources\benchmark.ts,312:1,error,indent
graphql-js-main\resources\benchmark.ts,313:1,error,indent
graphql-js-main\resources\benchmark.ts,316:29,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,333:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,337:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,341:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,345:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,349:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,353:10,error,prefer-template
graphql-js-main\resources\benchmark.ts,423:25,error,no-magic-numbers
graphql-js-main\resources\benchmark.ts,427:35,error,no-magic-numbers
graphql-js-main\resources\build-npm.ts,24:1,error,max-statements
