directory_file_name,line_number,error_type,error_description
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,3:1,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,4:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,5:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,5:40,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,6:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,6:40,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,9:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,10:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,10:41,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,11:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,11:41,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,13:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,13:41,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,14:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,14:41,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,16:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,16:39,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,17:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,17:39,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,20:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,21:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,21:41,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,24:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,25:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,25:36,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,28:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,29:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,29:42,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,30:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,30:42,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,33:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,34:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,34:79,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,37:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js,37:79,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\caesar-cipher\caesarCipher.js,20:32,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,3:1,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,4:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,5:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,8:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,15:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,18:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,23:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,27:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,32:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,36:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,41:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,42:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,43:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js,44:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js,4:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js,28:25,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js,42:22,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js,46:36,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js,76:55,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,26:72,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,52:50,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,53:65,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,56:47,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,78:37,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,81:40,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,83:30,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js,83:35,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js,26:67,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js,54:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js,55:58,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js,59:56,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,3:1,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,4:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:20,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:23,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:27,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:32,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:38,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:45,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,5:53,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,6:19,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,6:23,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,7:25,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,7:28,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,24:42,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,28:90,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,34:13,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,44:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,47:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,47:78,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,48:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,48:46,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,49:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,49:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,50:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,50:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,51:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,51:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,52:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,52:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,53:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,53:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,54:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,54:44,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,57:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js,57:51,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,3:1,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,4:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,5:20,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,5:23,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,6:25,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,6:28,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,21:40,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,25:88,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,31:11,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,40:3,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,43:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,43:46,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,44:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,44:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,45:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,45:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,46:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,46:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,47:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,47:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,48:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,48:43,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,49:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,49:44,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,50:5,error,no-undef
javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js,50:45,error,no-magic-numbers
javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\__test__\railFenceCipher.test.js,3:1,error,no-undef
javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\__test__\railFenceCipher.test.js,4:3,error,no-undef
