directory_file_name,line_number,error_type,error_description
treeherder-master\docker\statsd_config.js,3:14,error,expected
treeherder-master\tests\ui\helpers\display_test.js,3:1,error,no-undef
treeherder-master\tests\ui\helpers\display_test.js,12:3,error,no-undef
treeherder-master\tests\ui\helpers\display_test.js,14:7,error,no-undef
treeherder-master\tests\ui\helpers\gzip_test.js,5:1,error,no-undef
treeherder-master\tests\ui\helpers\gzip_test.js,6:3,error,no-undef
treeherder-master\tests\ui\helpers\gzip_test.js,10:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,46:12,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,46:20,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,46:28,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,46:36,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,46:44,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,49:13,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,49:24,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,49:35,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,49:46,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,49:57,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,63:13,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,63:24,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,63:35,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,63:46,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,63:57,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,76:12,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,76:20,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,76:28,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,76:36,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,76:44,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,88:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,89:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,90:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,96:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,97:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,98:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,99:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,100:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,100:26,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,100:30,error,no-magic-numbers
treeherder-master\tests\ui\helpers\helpers_test.js,101:5,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,105:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,105:61,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,107:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,112:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,112:56,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,114:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,119:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,119:58,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,121:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,126:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,126:67,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,130:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,135:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,135:65,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,137:3,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,142:1,error,no-undef
treeherder-master\tests\ui\helpers\helpers_test.js,142:82,error,require-await
treeherder-master\tests\ui\helpers\helpers_test.js,146:3,error,no-undef
