directory_file_name,line_number,error_type,error_description
vuepress-master\.commitlintrc.js,19:7,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\client\app.js,23:21,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\app.js,25:7,error,no-alert
vuepress-master\packages\@vuepress\core\lib\client\app.js,25:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\app.js,41:1,error,vue/match-component-file-name
vuepress-master\packages\@vuepress\core\lib\client\app.js,50:1,error,vue/match-component-file-name
vuepress-master\packages\@vuepress\core\lib\client\app.js,55:19,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\client\app.js,56:30,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\client\app.js,63:55,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\app.js,64:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\clientEntry.js,5:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\dataMixin.js,10:23,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\redirect.js,29:32,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\redirect.js,30:31,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\redirect.js,39:31,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,23:32,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,32:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,33:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,54:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,72:23,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,95:1,error,indent
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,95:41,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,96:1,error,indent
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,96:25,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,100:19,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,104:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,119:13,error,no-prototype-builtins
vuepress-master\packages\@vuepress\core\lib\client\root-mixins\updateMeta.js,138:12,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\client\util.js,38:21,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\client\util.js,38:50,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\client\util.js,193:41,error,no-undef
vuepress-master\packages\@vuepress\core\lib\client\util.js,196:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\eject.js,18:18,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,143:41,error,no-mixed-operators
vuepress-master\packages\@vuepress\core\lib\node\App.js,143:64,error,no-mixed-operators
vuepress-master\packages\@vuepress\core\lib\node\App.js,206:27,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,211:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,212:55,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,261:18,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\App.js,262:18,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\App.js,282:18,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\App.js,332:23,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\App.js,360:18,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,363:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\App.js,379:7,error,no-mixed-operators
vuepress-master\packages\@vuepress\core\lib\node\App.js,379:42,error,no-mixed-operators
vuepress-master\packages\@vuepress\core\lib\node\App.js,473:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\App.js,474:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\App.js,475:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\App.js,476:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\App.js,477:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\App.js,478:1,error,indent
vuepress-master\packages\@vuepress\core\lib\node\CacheLoader.js,18:33,error,complexity
vuepress-master\packages\@vuepress\core\lib\node\CacheLoader.js,57:16,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\CacheLoader.js,58:16,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\ClientComputedMixin.js,57:54,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\ClientComputedMixin.js,92:14,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\ClientComputedMixin.js,132:78,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\Page.js,73:16,error,prefer-template
vuepress-master\packages\@vuepress\core\lib\node\Page.js,88:17,error,max-statements
vuepress-master\packages\@vuepress\core\lib\node\Page.js,235:26,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\Page.js,288:3,error,require-await
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,3:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,4:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,6:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,7:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,15:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\AsyncOption.spec.js,15:35,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,3:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,4:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,6:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,9:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,14:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,19:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,22:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,27:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,34:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,41:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,46:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,52:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,55:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,57:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,58:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,64:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,64:46,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,65:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,65:46,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,66:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,66:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,66:35,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,67:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,67:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,67:35,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,68:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,68:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,68:35,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,69:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,69:32,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,69:35,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,72:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,76:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,77:22,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,82:22,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,82:25,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\Option.spec.js,84:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,1:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,2:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,3:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,8:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,9:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,13:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,13:51,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,14:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,14:37,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,17:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,26:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,26:47,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,27:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,27:33,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,28:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,28:48,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,32:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,39:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,39:47,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,40:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,40:48,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,41:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,41:34,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,45:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,53:7,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,53:33,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,57:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,68:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,68:45,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,70:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,70:31,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,73:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,82:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,82:45,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,84:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,84:31,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,85:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginAPI.spec.js,85:31,error,no-magic-numbers
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,3:1,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,4:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,7:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,8:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,9:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,10:5,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,13:3,error,no-undef
vuepress-master\packages\@vuepress\core\lib\node\__tests__\plugin-api\PluginUtil.spec.js,16:5,error,no-undef
