directory_file_name,line_number,error_type,error_description
gptFiles\test3.js,2:7,error,no-unused-vars
gptFiles\test3.js,5:5,error,no-constant-condition
gptFiles\test3.js,12:19,error,no-undef
gptFiles\test3.js,16:7,error,no-unused-vars
gptFiles\test3.js,27:1,error,no-alert
gptFiles\test3.js,27:1,error,no-undef
gptFiles\test3.js,30:7,error,no-unused-vars
gptFiles\test3.js,33:7,error,no-unused-vars
gptFiles\test3.js,36:16,error,no-unused-vars
javascript-master\packages\eslint-config-airbnb-base\rules\best-practices.js,17:25,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\best-practices.js,66:39,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,124:23,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,202:26,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,206:26,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,206:31,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,235:27,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\rules\style.js,238:31,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\test\requires.js,5:22,error,import/no-unresolved
javascript-master\packages\eslint-config-airbnb-base\test\test-base.js,3:18,error,import/no-unresolved
javascript-master\packages\eslint-config-airbnb-base\test\test-base.js,21:12,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\test\test-base.js,25:46,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\test\test-base.js,30:56,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\whitespace-async.js,34:44,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\whitespace-async.js,36:71,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\whitespace-async.js,48:64,warning,no-console
javascript-master\packages\eslint-config-airbnb-base\whitespace.js,34:46,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb-base\whitespace.js,36:73,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\rules\react.js,90:41,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\rules\react.js,314:35,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\test\requires.js,5:22,error,import/no-unresolved
javascript-master\packages\eslint-config-airbnb\test\test-base.js,3:18,error,import/no-unresolved
javascript-master\packages\eslint-config-airbnb\test\test-base.js,23:12,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\test\test-base.js,27:46,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\test\test-base.js,32:56,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\test\test-react-order.js,1:18,error,import/no-unresolved
javascript-master\packages\eslint-config-airbnb\test\test-react-order.js,9:41,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\test\test-react-order.js,40:12,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\whitespace-async.js,34:44,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\whitespace-async.js,36:71,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\whitespace-async.js,48:64,warning,no-console
javascript-master\packages\eslint-config-airbnb\whitespace.js,34:46,error,no-magic-numbers
javascript-master\packages\eslint-config-airbnb\whitespace.js,36:73,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test1.js,7:40,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test1.js,53:24,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test1.js,68:15,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test1.js,72:12,error,no-unused-vars
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test2.js,7:40,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test2.js,53:24,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test2.js,68:15,error,no-magic-numbers
F:\#projects\smp\js-anti-pattern-catcher\testFiles\test2.js,72:12,error,no-unused-vars
